pod_name,action,reward,done,cpu_request,memory_request,cpu_usage_node_0,cpu_usage_node_1,cpu_usage_node_2,cpu_usage_node_3,cpu_usage_node_4,cpu_usage_node_5,cpu_usage_node_6,cpu_usage_node_7,cpu_usage_node_8,cpu_usage_node_9
linear-hud-79c94b55b7-b4fck,5,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-n2jmg,4,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-kz5hv,8,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-5ls46,1,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-9dm65,6,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-6pjwz,3,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-g2l57,9,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-g965v,0,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-djlpw,2,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-zbmxd,7,0.9845,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
linear-hud-79c94b55b7-2cgtp,9,0.4923,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9688,0.9844,0.9688,0.9844,0.9844,0.9688
