pod_name,action,reward,done,cpu_request,memory_request,cpu_usage_node_0,cpu_usage_node_1,cpu_usage_node_2,cpu_usage_node_3,cpu_usage_node_4,cpu_usage_node_5,cpu_usage_node_6,cpu_usage_node_7,cpu_usage_node_8,cpu_usage_node_9
ordered-ray-56bd64c59c-gd22w,6,0.9845,0,1,2,1.0,1.0,1.0,0.9844,1.0,0.9844,0.9844,1.0,0.9844,0.9844
ordered-ray-56bd64c59c-k8kr9,3,0.9845,0,1,2,1.0,1.0,1.0,0.9844,1.0,0.9844,0.9844,1.0,0.9844,0.9844
ordered-ray-56bd64c59c-nnq2p,8,0.9845,0,1,2,1.0,1.0,1.0,0.9844,1.0,0.9844,0.9844,1.0,0.9844,0.9844
ordered-ray-56bd64c59c-kttdv,5,0.9845,0,1,2,1.0,1.0,1.0,0.9844,1.0,0.9844,0.9844,1.0,0.9844,0.9844
ordered-ray-56bd64c59c-6fftw,9,0.9845,1,1,2,1.0,1.0,1.0,0.9844,1.0,0.9844,0.9844,1.0,0.9844,0.9844
objective-estuary-7f9f954786-q8zzq,1,0.9848,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-5vz5k,7,0.9848,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-fcdbp,4,0.9848,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-mnrdl,2,0.9848,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-ld22k,3,0.4924,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-ts5bf,0,0.9848,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-p9st6,6,0.4924,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-shkqt,5,0.4924,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-c6wrl,9,0.4924,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-lzqh2,8,0.4924,0,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
objective-estuary-7f9f954786-k48pf,2,0.4924,1,1,2,0.9844,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688,0.9844,0.9688,0.9688
concave-powerset-798b6dfd74-jr7t6,4,0.4953,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-nz9nl,1,0.4953,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-r5j5l,7,0.4953,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-mr68f,0,0.4953,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-f24gg,6,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-t5ddd,9,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-xjbwz,5,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-kvk5s,2,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-mlqwl,8,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-2h2tj,3,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-xtn46,1,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-blbl9,0,0.3302,0,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
concave-powerset-798b6dfd74-t5tf9,7,0.3302,1,1,2,0.9531,0.9531,0.9531,0.9531,0.9688,0.9531,0.9531,0.9531,0.9531,0.9531
complex-party-757b569dd5-5wgsg,4,0.3272,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-26s5c,1,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-p9qzj,2,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-8jqvv,7,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-9f2dw,3,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-h6bfn,9,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-jlcxp,6,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-pc6m7,0,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-xzfl2,8,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-hbpdr,5,0.2454,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-qnksx,3,0.1963,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-mvlx6,0,0.1963,0,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
complex-party-757b569dd5-tkwhx,1,0.1963,1,1,2,0.9219,0.9219,0.9375,0.9219,0.9531,0.9375,0.9375,0.9375,0.9375,0.9375
massive-dado-ff5c657d6-kzprn,9,0.1967,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
massive-dado-ff5c657d6-f2xvr,5,0.1967,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
massive-dado-ff5c657d6-wc4k8,2,0.1967,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
massive-dado-ff5c657d6-q7jsz,7,0.1967,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
massive-dado-ff5c657d6-jl9lx,6,0.1967,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
massive-dado-ff5c657d6-mfn4r,4,0.2458,0,1,2,0.9219,0.9062,0.9219,0.9062,0.9375,0.9219,0.9219,0.9219,0.9219,0.9219
